artist;album;album_release_date;album_ranking;n_tracks;track;track_duration (s)
Alejandro Sanz;Más;1997-08-28;1;10;Y, ¿Si fuera ella?;323
Alejandro Sanz;Más;1997-08-28;1;10;Ese último momento;306
Alejandro Sanz;Más;1997-08-28;1;10;Corazón partío;343
Alejandro Sanz;Más;1997-08-28;1;10;Siempre es de noche;288
Alejandro Sanz;Más;1997-08-28;1;10;La margarita dijo no;295
Alejandro Sanz;Más;1997-08-28;1;10;Hoy que no estás;311
Alejandro Sanz;Más;1997-08-28;1;10;Un charquito de estrellas;294
Alejandro Sanz;Más;1997-08-28;1;10;Amiga mía;291
Alejandro Sanz;Más;1997-08-28;1;10;Si hay Dios...;331
Alejandro Sanz;Más;1997-08-28;1;10;Aquello que me diste;286
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Esta Tarde Vi Llover;166
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Parece Que Fue Ayer;168
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Dime Amor;211
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Al Fin Soy Feliz;186
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Todavía;136
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Pero Qué Bella Es la Vida;162
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;No;119
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Yo por Permitirlo;138
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Cuando Llora Mi Guitarra;154
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Tiempo de Amar;118
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Adoro;147
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Deja;158
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Yo Te Quiero;155
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Tengo;144
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Te Recuerdo;181
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Contigo Aprendí;125
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;El Último Verano;160
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Si Me Faltas Tú;170
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Paso a Pasito;139
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Felicidad;131
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Somos Novios;159
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Voy a Apagar la Luz;111
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Contigo Amor;144
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Puedo Morir Mañana;182
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;La Casa;132
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Mía;135
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Por Fin Mañana;255
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Eres Tú;137
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Yo No Sé;141
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Dime Quién;117
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Pensando en Ti;179
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Aquel Señor;134
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Cariño Mío;129
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Como Yo Te Amé;213
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Cuando Estoy Contigo;148
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;El Ciego;127
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Hoy;112
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Ahora;165
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;Yo Sé Que Te Amo;145
Armando Manzanero;Su Piano Y Su Música;2013-04-16;2;40;No Sé Tú;230
Astor Piazzola;Adiós Nonino;2010-05-27;3;1;Adiós Nonino;274
Aventura;The Last;2009-06-09;4;18;Intro - The Last;84
Aventura;The Last;2009-06-09;4;18;Por un Segundo;255
Aventura;The Last;2009-06-09;4;18;Yo Quisiera Amarla;306
Aventura;The Last;2009-06-09;4;18;El Malo;239
Aventura;The Last;2009-06-09;4;18;Dile al Amor;229
Aventura;The Last;2009-06-09;4;18;Su Veneno;241
Aventura;The Last;2009-06-09;4;18;Tu Jueguito;222
Aventura;The Last;2009-06-09;4;18;Spanish Fly (feat. Ludacris, Wyclef Jean);237
Aventura;The Last;2009-06-09;4;18;Peligro;278
