1	Drake	50,215,709,587	19,481,266,289	262	6	131	256	259	21.09.22
2	Bad Bunny	44,489,696,542	5,398,573,864	163	6	118	157	162	21.09.22
3	Ed Sheeran	38,187,498,674	2,795,136,013	240	10	62	178	217	21.09.22
4	The Weeknd	34,825,528,985	4,294,429,192	186	8	72	146	168	21.09.22
5	Taylor Swift	32,665,745,254	424,518,554	323	1	97	250	314	21.09.22
6	Justin Bieber	32,500,079,767	10,822,208,517	225	6	58	174	197	21.09.22
7	Ariana Grande	32,314,350,245	2,053,603,335	181	8	71	129	175	21.09.22
8	Eminem	30,464,777,234	4,169,742,871	300	5	65	228	268	21.09.22
9	Post Malone	29,860,567,739	2,730,322,593	98	9	57	79	82	21.09.22
10	BTS	28,578,055,615	323,909,422	262	1	99	211	262	21.09.22
11	J Balvin	25,892,190,469	9,950,347,777	242	3	66	147	225	19.09.22
12	Kanye West	25,535,119,184	5,767,153,127	239	1	63	197	221	20.09.22
13	Billie Eilish	23,715,336,599	0	64	4	48	59	63	21.09.22
14	Juice WRLD	23,114,066,243	3,751,941,085	116	3	60	113	115	19.09.22
15	Dua Lipa	22,216,251,120	350,142,046	198	7	36	83	165	21.09.22
16	Coldplay	22,214,835,214	0	299	5	34	175	277	20.09.22
17	Imagine Dragons	21,840,729,338	65,482,523	189	4	41	111	154	21.09.22
18	XXXTENTACION	21,759,712,031	2,549,187,913	144	7	44	108	137	21.09.22
19	Ozuna	21,119,272,574	7,514,655,612	215	1	51	156	197	17.09.22
20	Khalid	20,973,735,166	2,923,419,376	119	7	40	94	111	15.09.22
21	Rihanna	20,782,050,334	6,845,488,276	279	2	46	111	208	21.09.22
22	Travis Scott	20,566,427,073	9,662,107,113	113	4	49	91	108	17.09.22
23	Maroon 5	19,952,566,778	18,447	240	7	31	112	199	17.09.22
24	David Guetta	19,135,240,434	1,199,284,649	707	1	47	151	400	21.09.22
25	Shawn Mendes	18,964,777,185	46,809,153	126	5	34	94	124	19.09.22
26	Bruno Mars	18,201,285,113	3,874,562,483	81	5	32	62	76	06.09.22
27	Daddy Yankee	18,075,604,863	5,656,394,885	360	4	44	105	238	16.09.22
28	Calvin Harris	17,820,311,936	419,338,360	238	3	29	89	192	03.09.22
29	Kendrick Lamar	17,650,726,013	8,647,763,108	121	2	41	112	117	19.09.22
