artist_id,album_id,album_name,album_release
23619,49034517,Sorry 4 The Wait,2022-01-14
23619,47319438,Ya Dig - Single,2021-10-07
23619,41355776,Ain't Got Time (feat. Fousheé) - Single,2021-01-21
23619,41355770,Ain't Got Time (feat. Fousheé) - Single,2021-01-21
23619,41333556,Green and Yellow (Green Bay Packers Theme Song) - Single,2021-01-16
23619,43718951,What's a Goon to a Goblin?,2020-10-28
23619,43735712,Thief In The Night,2020-10-27
23619,40243238,NFL (feat. Gudda Gudda & Hoodybaby) - Single,2020-10-05
23619,40131023,Tha Carter V (Deluxe),2020-09-25
23619,40206324,Tha Carter V (Deluxe),2020-09-25
37700,39769383,Waste Management,2020-08-28
37700,39454777,Believe in Goodbyes,2020-07-31
37700,39293938,All the Things She Said (Live),2020-07-17
37700,36625659,Truth (Live in St. Petersburg),2020-01-28
37700,36871303,Nichya (Live),2020-01-22
37700,19883444,30 Minutes,2014-05-15
37700,17236060,Waste Management,2013-12-10
37700,26932482,New model,2011-06-28
37700,15722984,Waste Management Remixes 2,2011-02-17
37700,15722983,Waste Management Remixes 1,2011-02-17
93263,41750255,Crazy - Single,2020-12-19
93263,39771586,Running - Single,2020-08-04
93263,33617824,Taco Tuesday,2019-07-12
93263,32960172,Ain't No Tellin',2019-06-12
93263,31527651,Fuccboi - Single,2019-02-22
93263,30949370,All I Really Want For Christmas (feat. Kool-Aid Man),2018-12-14
93263,30885559,All I Really Want For Christmas (feat. Kool-Aid Man) - Single,2018-12-14
93263,30879720,All I Really Want For Christmas,2018-12-14
93263,30421608,Get Lucky,2018-10-01
93263,28696218,Get Down,2018-01-19
234,54143182,No Apologies (Acoustic),2022-09-09
234,54284736,No Apologies (Acoustic) - Single,2022-09-09
234,53709791,Ego Trip Chronicles: SELF-AWARE,2022-08-12
234,49969232,Ego Trip,2022-04-08
234,49965523,Cut The Line,2022-03-01
234,49562599,Stand Up - Single,2022-01-31
234,49261701,Stand Up - Single,2022-01-21
234,49235759,Stand Up,2022-01-20
234,48449159,Kill The Noise (Acoustic),2021-12-10
234,47784999,Dying To Believe - Single,2021-10-29
13092319,36270009,A Palé (Gesaffelstein Remix) - Single,2019-11-01
13092319,35316426,Novo Sonic System - EP,2019-10-04
13092319,31613635,Hyperion,2019-03-08
13092319,30729028,Reset,2018-12-02
13092319,24852207,Maryland (Disorder) [Original Motion Picture Soundtrack],2015-09-11
13092319,20927770,Maryland (Disorder [Original Motion Picture Soundtrack]),2015-09-11
13092319,15457303,Aleph,2013-10-28
13092319,15577514,Aleph,2013-10-28
13092319,16280518,Aleph,2013-10-28
13092319,21112984,I Love Techno 2013,2013-10-07
22681,29239892,SoulMate,2018-07-03
22681,28514057,Say Something (Live Version),2018-03-30
22681,28522586,Say Something (feat. Chris Stapleton) [Live Version] - Single,2018-03-30
22681,28229085,Midnight Summer Jam / Say Something (feat. Chris Stapleton) [Live at the BRITs] - Single,2018-02-21
22681,27876430,Man of the Woods,2018-02-02
22681,28011957,Say Something,2018-01-25
22681,27961490,Supplies,2018-01-18
22681,27876248,Filthy,2018-01-05
22681,23451949,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2016-05-06
