name,isrc,album,artists
Umbrella,USUM70736771,Good Girl Gone Bad: Reloaded,Rihanna;JAY-Z
In Da Club,USIR10300033,Get Rich Or Die Tryin',50 Cent
Just Dance,USUM70807646,The Fame,Lady Gaga;Colby O'Donis
The Sweet Escape,USUM70618684,The Sweet Escape,Gwen Stefani;Akon
Hips Don't Lie (feat. Wyclef Jean),USSM10600677,Oral Fixation, Vol. 2 (Expanded Edition),Shakira;Wyclef Jean
Yeah! (feat. Lil Jon & Ludacris),USAR10301423,Confessions (Expanded Edition),Usher;Lil Jon;Ludacris
Family Affair,USMC10111369,No More Drama,Mary J. Blige
Lose Yourself - From "8 Mile" Soundtrack,USIR10211559,Curtain Call: The Hits (Deluxe Edition),Eminem
Crazy,USAT20611041,St. Elsewhere,Gnarls Barkley
Empire State Of Mind,USJZ10900031,The Blueprint 3,JAY-Z;Alicia Keys
This Love,USJAY0300080,Songs About Jane: 10th Anniversary Edition,Maroon 5
Yellow,GBAYE0000267,Parachutes,Coldplay
Without Me,USIR10211038,The Eminem Show,Eminem
Mr. Brightside,USIR20400274,Hot Fuss,The Killers
Heartless,USUM70840511,808s & Heartbreak,Kanye West
In the End,USWB10002407,Hybrid Theory (Bonus Edition),Linkin Park
Feel Good Inc.,GBAYE0500172,Demon Days,Gorillaz
Seven Nation Army,USVT10300001,Elephant,The White Stripes
The Scientist,GBAYE0200772,A Rush of Blood to the Head,Coldplay
Pumped Up Kicks,USSM11002931,Torches,Foster The People
Bad Romance,USUM70918596,The Fame Monster (Deluxe Edition),Lady Gaga
The Real Slim Shady,USIR10000448,The Marshall Mathers LP,Eminem
Hate It Or Love It,USIR10401121,The Documentary,The Game;50 Cent
Promiscuous,USUM70603473,Loose,Nelly Furtado;Timbaland
Ms. Jackson,USLF20000357,Stankonia,Outkast
Numb,USWB10300474,Meteora,Linkin Park
Hey, Soul Sister,USSM10904113,Save Me, San Francisco (Golden Gate Edition),Train
Stronger,USUM70741299,Graduation,Kanye West
Till I Collapse,USIR10211066,The Eminem Show,Eminem;Nate Dogg
Fix You,GBAYE0500605,X&Y,Coldplay
Gasolina,QM6N21759342,Barrio Fino (Bonus Track Version),Daddy Yankee
Sex on Fire,USRC10800300,Only By The Night,Kings of Leon
Can't Stop,USWB10201694,By the Way (Deluxe Edition),Red Hot Chili Peppers
Hey Ya!,USAR10300924,Speakerboxxx/The Love Below,Outkast
Stan,USIR10001280,The Marshall Mathers LP,Eminem;Dido
Bring Me To Life,USWU30200093,Fallen,Evanescence
TiK ToK,USRC10900433,Animal (Expanded Edition),Kesha
Viva La Vida,GBAYE0800265,Viva La Vida or Death and All His Friends,Coldplay
Low (feat. T-Pain),USAT20705841,Mail on Sunday,Flo Rida;T-Pain
Smack That,USUM70609036,Konvicted,Akon;Eminem
The Reason,USIR20300704,The Reason (15th Anniversary Deluxe),Hoobastank
The Next Episode,USIR19915078,2001,Dr. Dre;Snoop Dogg
Clocks,GBAYE0200771,A Rush of Blood to the Head,Coldplay
Candy Shop,USIR10500072,The Massacre,50 Cent;Olivia
How to Save a Life,USSM10601178,How To Save A Life,The Fray
If I Ain't Got You,USJAY0300452,The Diary Of Alicia Keys,Alicia Keys
Dynamite,GBUM71003721,The Rokstarr Hits Collection,Taio Cruz
Last Resort,USDW10021712,Infest,Papa Roach
Alright,USUM71502498,To Pimp A Butterfly,Kendrick Lamar
Chasing Cars,GBUM70600345,Eyes Open,Snow Patrol
Maneater,USUM70601449,Loose,Nelly Furtado
Back To Black,GBUM70604698,Back To Black (Deluxe Edition),Amy Winehouse
Complicated,USAR10200223,Let Go,Avril Lavigne
Hey There Delilah,US5260507213,All That We Needed,Plain White T's
The Way I Are,USUM70722806,Shock Value,Timbaland;Keri Hilson;D.O.E.
The Middle,USDW10110256,Bleed American,Jimmy Eat World
Don't Stop The Music,USUM70734700,Good Girl Gone Bad: Reloaded,Rihanna
How You Remind Me,NLA320119533,Silver Side Up,Nickelback
Gold Digger,USUM70500143,Late Registration,Kanye West;Jamie Foxx
Forgot About Dre,USIR19915077,2001,Dr. Dre;Eminem
Gimme More,USJI10700609,Blackout,Britney Spears
Say It Right,USUM70603368,Loose,Nelly Furtado
She Will Be Loved - Radio Mix,USUM71204501,Songs About Jane: 10th Anniversary Edition,Maroon 5
Where Is The Love?,USIR10311862,Elephunk,Black Eyed Peas
Temperature,USAT20505520,The Trinity,Sean Paul
Fireflies,USUM70972068,Ocean Eyes,Owl City
Take Me Out,GBCEL0300192,Franz Ferdinand,Franz Ferdinand
Walking On A Dream,AUEI10800039,Walking On A Dream (10th Anniversary Edition),Empire of the Sun
It Wasn't Me,USMC10000393,Hot Shot,Shaggy;Rik Rok
American Boy,USAT20706210,Shine,Estelle;Kanye West
The Pretender,USRW30700007,Echoes, Silence, Patience & Grace,Foo Fighters
Thnks fr th Mmrs,USUM70700326,Infinity On High,Fall Out Boy
Beautiful Girls,USSM10701781,Beautiful Girls,Sean Kingston
Down,USCM50900094,All Or Nothing,Jay Sean;Lil Wayne
Wake Me up When September Ends,USRE10400992,American Idiot,Green Day
Welcome to the Black Parade,USRE10602613,The Black Parade,My Chemical Romance
All The Things She Said,RUA110100098,200 KM/H In The Wrong Lane (10th Anniversary Edition),t.A.T.u.
Oops!...I Did It Again,USJI10000100,Oops!... I Did It Again,Britney Spears
Kids,USSM10702135,Oracular Spectacular,MGMT
Sugar, We're Goin Down,USIR20500201,From Under The Cork Tree,Fall Out Boy
Alors on danse - Radio Edit,FRUM70902424,Cheese,Stromae
SexyBack (feat. Timbaland),USJI10600269,FutureSex/LoveSounds,Justin Timberlake;Timbaland
Grenade,USAT21001883,Doo-Wops & Hooligans,Bruno Mars
I Knew You Were Trouble.,USCJY1231039,Red (Big Machine Radio Release Special),Taylor Swift
Pon de Replay,USIR20500331,Music Of The Sun,Rihanna
Lady - Hear Me Tonight,FR9W10100535,Modjo (Remastered),Modjo
Dani California,USWB10600700,Stadium Arcadium,Red Hot Chili Peppers
Dilemma,USUR10200370,Nellyville,Nelly;Kelly Rowland
My Boo,USAR10400887,Confessions (Expanded Edition),Usher;Alicia Keys
Run This Town,USJZ10900010,The Blueprint 3,JAY-Z;Rihanna;Kanye West
Crazy In Love (feat. Jay-Z),USSM10305425,Dangerously In Love,Beyoncé;JAY-Z
Dancing in the Moonlight,GBBBL9902165,Onka's Big Moka,Toploader
Put Your Records On,GBAYE0501671,Corinne Bailey Rae,Corinne Bailey Rae
Disturbia,USUM70814476,Good Girl Gone Bad: Reloaded,Rihanna
Sk8er Boi,USAR10200229,Let Go,Avril Lavigne
Boulevard of Broken Dreams,USRE10400985,Greatest Hits: God's Favorite Band,Green Day
Electric Feel,USSM10702131,Oracular Spectacular,MGMT
Drop It Like It's Hot,USMC10400640,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg;Pharrell Williams
Kiss Me Thru The Phone,USUM70848200,iSouljaBoyTellem,Soulja Boy;Sammie
Use Somebody,USRC10800301,Only By The Night,Kings of Leon
You Get Me So High,USSM11707131,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood
Black Skinhead,USUM71307719,Yeezus,Kanye West
Before You Go,DEUM71905868,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi
Dandelions,USSM11703468,Safe Haven,Ruth B.
