What's Going On;What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-whats-going-on.txt
What's Happening Brother;What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-whats-happening-brother.txt
Flyin' High (In The Friendly Sky);What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-flyin-high-in-the-friendly-sky.txt
Save The Children;What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-save-the-children.txt
God Is Love;What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-god-is-love.txt
Mercy Mercy Me (The Ecology);What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-mercy-mercy-me-the-ecology.txt
Right On;What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-right-on.txt
Wholy Holy;What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-wholy-holy.txt
Inner City Blues (Make Me Wanna Holler);What's Going On;Marvin Gaye;data/lyrics/Marvin-gaye-inner-city-blues-make-me-wanna-holler.txt
Wouldn't It Be Nice - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-wouldnt-it-be-nice.txt
You Still Believe In Me - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-you-still-believe-in-me.txt
That's Not Me - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-thats-not-me.txt
Don't Talk (Put Your Head On My Shoulder) - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-dont-talk.txt
I'm Waiting For The Day - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-im-waiting-for-the-day.txt
Let's Go Away For A While - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-lets-go-away-for-a-while.txt
Sloop John B - Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-sloop-john-b.txt
God Only Knows - Mono / 1997 Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-god-only-knows.txt
I Know There's An Answer - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-i-know-theres-an-answer.txt
Here Today - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-here-today.txt
I Just Wasn't Made For These Times - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-i-just-wasnt-made-for-these-times.txt
Pet Sounds - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-pet-sounds.txt
Caroline, No - Mono / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-caroline-no.txt
Hang On To Your Ego;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-hang-on-to-your-ego.txt
Wouldn't It Be Nice - Remastered 2000 / Stereo Mix;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-wouldnt-it-be-nice.txt
You Still Believe In Me - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-you-still-believe-in-me.txt
That's Not Me - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-thats-not-me.txt
Don't Talk (Put Your Head On My Shoulder) - Stereo / Remastered 1996;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-dont-talk.txt
I'm Waiting For The Day - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-im-waiting-for-the-day.txt
Let's Go Away For Awhile - Stereo / Remastered;Pet Sounds;The Beach Boys;
Sloop John B - Stereo / Remastered;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-sloop-john-b.txt
God Only Knows - Stereo / Remastered 1996;Pet Sounds;The Beach Boys;data/lyrics/The-beach-boys-god-only-knows.txt
