track;album;artist
What's Going On;What's Going On;Marvin Gaye
What's Happening Brother;What's Going On;Marvin Gaye
Flyin' High (In The Friendly Sky);What's Going On;Marvin Gaye
Save The Children;What's Going On;Marvin Gaye
God Is Love;What's Going On;Marvin Gaye
Mercy Mercy Me (The Ecology);What's Going On;Marvin Gaye
Right On;What's Going On;Marvin Gaye
Wholy Holy;What's Going On;Marvin Gaye
Inner City Blues (Make Me Wanna Holler);What's Going On;Marvin Gaye
Wouldn't It Be Nice - Mono / Remastered;Pet Sounds;The Beach Boys
You Still Believe In Me - Mono / Remastered;Pet Sounds;The Beach Boys
That's Not Me - Mono / Remastered;Pet Sounds;The Beach Boys
Don't Talk (Put Your Head On My Shoulder) - Mono / Remastered;Pet Sounds;The Beach Boys
I'm Waiting For The Day - Mono / Remastered;Pet Sounds;The Beach Boys
Let's Go Away For A While - Mono / Remastered;Pet Sounds;The Beach Boys
Sloop John B - Remastered;Pet Sounds;The Beach Boys
God Only Knows - Mono / 1997 Remastered;Pet Sounds;The Beach Boys
I Know There's An Answer - Mono / Remastered;Pet Sounds;The Beach Boys
Here Today - Mono / Remastered;Pet Sounds;The Beach Boys
I Just Wasn't Made For These Times - Mono / Remastered;Pet Sounds;The Beach Boys
Pet Sounds - Mono / Remastered;Pet Sounds;The Beach Boys
Caroline, No - Mono / Remastered;Pet Sounds;The Beach Boys
Hang On To Your Ego;Pet Sounds;The Beach Boys
Wouldn't It Be Nice - Remastered 2000 / Stereo Mix;Pet Sounds;The Beach Boys
You Still Believe In Me - Stereo / Remastered;Pet Sounds;The Beach Boys
That's Not Me - Stereo / Remastered;Pet Sounds;The Beach Boys
Don't Talk (Put Your Head On My Shoulder) - Stereo / Remastered 1996;Pet Sounds;The Beach Boys
I'm Waiting For The Day - Stereo / Remastered;Pet Sounds;The Beach Boys
Let's Go Away For Awhile - Stereo / Remastered;Pet Sounds;The Beach Boys
Sloop John B - Stereo / Remastered;Pet Sounds;The Beach Boys
