artist;album;album_release_date;album_ranking;n_tracks;track;track_duration (s);lyrics
Marvin Gaye;What's Going On;1971;1;9;What's Going On;233;data/lyrics/Marvin-gaye-whats-going-on.txt
Marvin Gaye;What's Going On;1971;1;9;What's Happening Brother;164;data/lyrics/Marvin-gaye-whats-happening-brother.txt
Marvin Gaye;What's Going On;1971;1;9;Flyin' High (In The Friendly Sky);230;data/lyrics/Marvin-gaye-flyin-high-in-the-friendly-sky.txt
Marvin Gaye;What's Going On;1971;1;9;Save The Children;243;data/lyrics/Marvin-gaye-save-the-children.txt
Marvin Gaye;What's Going On;1971;1;9;God Is Love;102;data/lyrics/Marvin-gaye-god-is-love.txt
Marvin Gaye;What's Going On;1971;1;9;Mercy Mercy Me (The Ecology);194;data/lyrics/Marvin-gaye-mercy-mercy-me-the-ecology.txt
Marvin Gaye;What's Going On;1971;1;9;Right On;452;data/lyrics/Marvin-gaye-right-on.txt
Marvin Gaye;What's Going On;1971;1;9;Wholy Holy;188;data/lyrics/Marvin-gaye-wholy-holy.txt
Marvin Gaye;What's Going On;1971;1;9;Inner City Blues (Make Me Wanna Holler);328;data/lyrics/Marvin-gaye-inner-city-blues-make-me-wanna-holler.txt
The Beach Boys;Pet Sounds;1966;2;14;Wouldn't It Be Nice;223;data/lyrics/The-beach-boys-wouldnt-it-be-nice.txt
The Beach Boys;Pet Sounds;1966;2;14;You Still Believe In Me;177;data/lyrics/The-beach-boys-you-still-believe-in-me.txt
The Beach Boys;Pet Sounds;1966;2;14;That's Not Me;216;data/lyrics/The-beach-boys-thats-not-me.txt
The Beach Boys;Pet Sounds;1966;2;14;Don't Talk;200;data/lyrics/The-beach-boys-dont-talk.txt
The Beach Boys;Pet Sounds;1966;2;14;I'm Waiting For The Day;186;data/lyrics/The-beach-boys-im-waiting-for-the-day.txt
The Beach Boys;Pet Sounds;1966;2;14;Let's Go Away For Awhile;200;./data/lyrics/The-beach-boys-lets-go-away-for-awhile.txt
The Beach Boys;Pet Sounds;1966;2;14;Sloop John B;225;data/lyrics/The-beach-boys-sloop-john-b.txt
The Beach Boys;Pet Sounds;1966;2;14;God Only Knows;194;data/lyrics/The-beach-boys-god-only-knows.txt
The Beach Boys;Pet Sounds;1966;2;14;Hang On To Your Ego;163;data/lyrics/The-beach-boys-hang-on-to-your-ego.txt
The Beach Boys;Pet Sounds;1966;2;14;Here Today;204;data/lyrics/The-beach-boys-here-today.txt
The Beach Boys;Pet Sounds;1966;2;14;I Just Wasn't Made For These Times;242;data/lyrics/The-beach-boys-i-just-wasnt-made-for-these-times.txt
The Beach Boys;Pet Sounds;1966;2;14;Pet Sounds;135;data/lyrics/The-beach-boys-pet-sounds.txt
The Beach Boys;Pet Sounds;1966;2;14;Caroline No;160;data/lyrics/The-beach-boys-caroline-no.txt
The Beach Boys;Pet Sounds;1966;2;14;Good Vibrations;348;data/lyrics/The-beach-boys-good-vibrations.txt
Joni Mitchell;Blue;2012;3;1;Joni Mitchell Was Punk;194;./data/lyrics/Joni-mitchell-joni-mitchell-was-punk.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Love's In Need Of Love Today;426;data/lyrics/Stevie-wonder-loves-in-need-of-love-today.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Have A Talk With God;162;data/lyrics/Stevie-wonder-have-a-talk-with-god.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Village Ghetto Land;205;data/lyrics/Stevie-wonder-village-ghetto-land.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Contusion;226;data/lyrics/Stevie-wonder-contusion.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Sir Duke;233;data/lyrics/Stevie-wonder-sir-duke.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;I Wish;252;data/lyrics/Stevie-wonder-i-wish.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Knocks Me Off My Feet;216;data/lyrics/Stevie-wonder-knocks-me-off-my-feet.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Pastime Paradise;208;data/lyrics/Stevie-wonder-pastime-paradise.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Summer Soft;254;data/lyrics/Stevie-wonder-summer-soft.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Ordinary Pain;383;data/lyrics/Stevie-wonder-ordinary-pain.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Isn't She Lovely;394;data/lyrics/Stevie-wonder-isnt-she-lovely.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Joy Inside My Tears;390;data/lyrics/Stevie-wonder-joy-inside-my-tears.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Black Man;510;data/lyrics/Stevie-wonder-black-man.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Ngiculela-Es Una Historia-I Am Singing;229;data/lyrics/Stevie-wonder-ngiculela-es-una-historia-i-am-singing.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;If It's Magic;192;data/lyrics/Stevie-wonder-if-its-magic.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;As;428;data/lyrics/Stevie-wonder-as.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Another Star;508;data/lyrics/Stevie-wonder-another-star.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Saturn;294;data/lyrics/Stevie-wonder-saturn.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Ebony Eyes;249;data/lyrics/Stevie-wonder-ebony-eyes.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;All Day Sucker;306;data/lyrics/Stevie-wonder-all-day-sucker.txt
Stevie Wonder;Songs in the Key of Life;1976;4;21;Easy Goin' Evening (My Mama's Call);237;data/lyrics/Stevie-wonder-easy-goin-evening-my-mamas-call.txt
The Beatles;Abbey Road;1969;5;17;Come Together - Remastered 2009;260;data/lyrics/The-beatles-come-together.txt
The Beatles;Abbey Road;1969;5;17;Something - Remastered 2009;182;data/lyrics/The-beatles-something.txt
The Beatles;Abbey Road;1969;5;17;Maxwell's Silver Hammer - Remastered 2009;208;data/lyrics/The-beatles-maxwells-silver-hammer.txt
The Beatles;Abbey Road;1969;5;17;Oh! Darling - Remastered 2009;207;data/lyrics/The-beatles-oh-darling.txt
The Beatles;Abbey Road;1969;5;17;Octopus's Garden - Remastered 2009;171;data/lyrics/The-beatles-octopuss-garden.txt
The Beatles;Abbey Road;1969;5;17;I Want You (She's So Heavy) - Remastered 2009;467;./data/lyrics/The-beatles-i-want-you-shes-so-heavy---remastered-2009.txt
The Beatles;Abbey Road;1969;5;17;Here Comes The Sun - Remastered 2009;186;data/lyrics/The-beatles-here-comes-the-sun.txt
The Beatles;Abbey Road;1969;5;17;Because - Remastered 2009;166;data/lyrics/The-beatles-because.txt
The Beatles;Abbey Road;1969;5;17;You Never Give Me Your Money - Remastered 2009;243;data/lyrics/The-beatles-you-never-give-me-your-money.txt
The Beatles;Abbey Road;1969;5;17;Sun King - Remastered 2009;146;data/lyrics/The-beatles-sun-king.txt
The Beatles;Abbey Road;1969;5;17;Mean Mr Mustard - Remastered 2009;67;data/lyrics/The-beatles-mean-mr-mustard.txt
The Beatles;Abbey Road;1969;5;17;Polythene Pam - Remastered 2009;73;data/lyrics/The-beatles-polythene-pam.txt
The Beatles;Abbey Road;1969;5;17;She Came In Through The Bathroom Window - Remastered 2009;119;data/lyrics/The-beatles-she-came-in-through-the-bathroom-window.txt
The Beatles;Abbey Road;1969;5;17;Golden Slumbers - Remastered 2009;92;data/lyrics/The-beatles-golden-slumbers.txt
The Beatles;Abbey Road;1969;5;17;Carry That Weight - Remastered 2009;96;data/lyrics/The-beatles-carry-that-weight.txt
The Beatles;Abbey Road;1969;5;17;The End - Remastered 2009;142;data/lyrics/The-beatles-the-end.txt
The Beatles;Abbey Road;1969;5;17;Her Majesty - Remastered 2009;26;data/lyrics/The-beatles-her-majesty.txt
Nirvana;Nevermind;1991;6;43;Smells Like Teen Spirit;302;data/lyrics/Nirvana-smells-like-teen-spirit.txt
Nirvana;Nevermind;1991;6;43;In Bloom;255;data/lyrics/Nirvana-in-bloom.txt
Nirvana;Nevermind;1991;6;43;Come As You Are;219;data/lyrics/Nirvana-come-as-you-are.txt
Nirvana;Nevermind;1991;6;43;Breed;184;data/lyrics/Nirvana-breed.txt
Nirvana;Nevermind;1991;6;43;Lithium;257;data/lyrics/Nirvana-lithium.txt
Nirvana;Nevermind;1991;6;43;Polly;174;data/lyrics/Nirvana-polly.txt
Nirvana;Nevermind;1991;6;43;Territorial Pissings;143;data/lyrics/Nirvana-territorial-pissings.txt
Nirvana;Nevermind;1991;6;43;Drain You;224;data/lyrics/Nirvana-drain-you.txt
Nirvana;Nevermind;1991;6;43;Lounge Act;156;data/lyrics/Nirvana-lounge-act.txt
Nirvana;Nevermind;1991;6;43;Stay Away;211;data/lyrics/Nirvana-stay-away.txt
Nirvana;Nevermind;1991;6;43;On A Plain;194;data/lyrics/Nirvana-on-a-plain.txt
Nirvana;Nevermind;1991;6;43;Something In The Way;232;data/lyrics/Nirvana-something-in-the-way.txt
Nirvana;Nevermind;1991;6;43;Endless, Nameless;403;data/lyrics/Nirvana-endless-nameless.txt
Nirvana;Nevermind;1991;6;43;Even In His Youth - B-Side;182;data/lyrics/Nirvana-even-in-his-youth.txt
Nirvana;Nevermind;1991;6;43;Aneurysm;286;data/lyrics/Nirvana-aneurysm.txt
Nirvana;Nevermind;1991;6;43;Curmudgeon;177;data/lyrics/Nirvana-curmudgeon.txt
Nirvana;Nevermind;1991;6;43;D-7 - Live At The BBC;224;./data/lyrics/Nirvana-d-7---live-at-the-bbc.txt
Nirvana;Nevermind;1991;6;43;Been A Son - Live At Paramount Theatre B-Side;150;data/lyrics/Nirvana-been-a-son.txt
Nirvana;Nevermind;1991;6;43;School - Live At Paramount Theatre/1991;154;data/lyrics/Nirvana-school.txt
Nirvana;Nevermind;1991;6;43;Drain You - Live At Paramount Theatre B-Side;232;data/lyrics/Nirvana-drain-you.txt
Nirvana;Nevermind;1991;6;43;Sliver - Live At Del Mar B-Side;123;data/lyrics/Nirvana-sliver.txt
Nirvana;Nevermind;1991;6;43;Polly - Live At Del Mar B-Side;167;data/lyrics/Nirvana-polly.txt
Nirvana;Nevermind;1991;6;43;In Bloom - Smart Sessions;271;data/lyrics/Nirvana-in-bloom.txt
Nirvana;Nevermind;1991;6;43;Immodium (Breed) - Smart Sessions;194;./data/lyrics/Nirvana-immodium-breed---smart-sessions.txt
Nirvana;Nevermind;1991;6;43;Lithium - Smart Sessions;270;data/lyrics/Nirvana-lithium.txt
Nirvana;Nevermind;1991;6;43;Polly - Smart Sessions;178;data/lyrics/Nirvana-polly.txt
Nirvana;Nevermind;1991;6;43;Pay To Play - Smart Sessions;208;data/lyrics/Nirvana-pay-to-play.txt
Nirvana;Nevermind;1991;6;43;Here She Comes Now - Smart Sessions;300;data/lyrics/Nirvana-here-she-comes-now.txt
Nirvana;Nevermind;1991;6;43;Dive - Smart Sessions;234;data/lyrics/Nirvana-dive.txt
Nirvana;Nevermind;1991;6;43;Sappy - Smart Sessions;215;data/lyrics/Nirvana-sappy.txt
Nirvana;Nevermind;1991;6;43;Smells Like Teen Spirit - Boombox Rehearsals;339;data/lyrics/Nirvana-smells-like-teen-spirit.txt
Nirvana;Nevermind;1991;6;43;Verse Chorus Verse - Boombox Rehearsals;192;data/lyrics/Nirvana-verse-chorus-verse.txt
Nirvana;Nevermind;1991;6;43;Territorial Pissings - Boombox Rehearsals;131;data/lyrics/Nirvana-territorial-pissings.txt
Nirvana;Nevermind;1991;6;43;Lounge Act - Boombox Rehearsals;156;data/lyrics/Nirvana-lounge-act.txt
Nirvana;Nevermind;1991;6;43;Come As You Are - Boombox Rehearsals;251;data/lyrics/Nirvana-come-as-you-are.txt
Nirvana;Nevermind;1991;6;43;Old Age - Boombox Rehearsals;261;data/lyrics/Nirvana-old-age.txt
Nirvana;Nevermind;1991;6;43;Something In The Way - Boombox Rehearsals;330;data/lyrics/Nirvana-something-in-the-way.txt
Nirvana;Nevermind;1991;6;43;On A Plain - Boombox Rehearsals;200;data/lyrics/Nirvana-on-a-plain.txt
Nirvana;Nevermind;1991;6;43;Drain You - Live At The BBC;243;data/lyrics/Nirvana-drain-you.txt
Nirvana;Nevermind;1991;6;43;Something In The Way - Live At The BBC;204;data/lyrics/Nirvana-something-in-the-way.txt
